Title,Time,Description,Source
Palestinians condemn suspension of UNRWA funding by Western nations,"Sat, 27 Jan 2024 22:07:30 GMT","Australia, Germany, UK, US and others halt support after Israel accused UNRWA staff of involvement in Hamas’s October 7 attacks.
This has prompted at least 10 Western countries to withdraw or temporarily pause funding to the agency, a move the head of UNRWA called “shocking”.
Ireland and Norway, however, expressed continued support for UNRWA, saying the agency does crucial work to help Palestinians displaced and in desperate need of assistance in Gaza.
“The Israeli authorities have provided UNRWA with information about the alleged involvement of several UNRWA employees in the horrific attacks on Israel on October 7,” Lazzarini said.
Canada’s International Development Minister Ahmed Hussen also said on Friday that Ottawa had “temporarily paused” additional funding while UNRWA conducts a thorough investigation.",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzEvMjcvcGFsZXN0aW5pYW5zLXNsYW0tc3VzcGVuc2lvbi1vZi11bnJ3YS1mdW5kaW5nLWJ5LXNvbWUtd2VzdGVybi1uYXRpb25z0gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDI0LzEvMjcvcGFsZXN0aW5pYW5zLXNsYW0tc3VzcGVuc2lvbi1vZi11bnJ3YS1mdW5kaW5nLWJ5LXNvbWUtd2VzdGVybi1uYXRpb25z?oc=5
Israel’s war on Gaza live: Meeting in Paris as truce-deal progress reported,"Sun, 28 Jan 2024 11:13:45 GMT","blinking-dot Live updates Live updates,Israel’s war on Gaza live: Meeting in Paris as truce-deal progress reportedCIA head William Burns will spearhead talks in Paris with officials from Israel, Egypt and Qatar on a pause in fighting.",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDI0LzEvMjgvaXNyYWVscy13YXItb24tZ2F6YS1saXZlLWFpZC1jdXRzLWFyZS1jb2xsZWN0aXZlLXB1bmlzaG1lbnQtdW5yd2HSAQA?oc=5
Breaking! Hamas'shocking announcement on ICJ ruling on genocide charges against Israel & Gaza ceasefire,"Fri, 26 Jan 2024 16:56:49 GMT","Jan 26, 2024, 10:26PM ISTSource: TOI.inThe International Court of Justice (ICJ) recently issued a crucial ruling on South Africa's emergency measures in the genocide case against Israel.
In a landmark decision, the court directed Israel to take immediate steps to prevent acts of genocide in the Gaza Strip.
This development heightened the anticipation of Hamas, which has been closely monitoring the ICJ's deliberations on Israel's alleged genocide.Following the ICJ ruling, Hamas leader Osama Hamdan held a press conference to unveil the organization's stance.
He announced that Hamas is willing to adhere to a ceasefire if ordered by the ICJ, under the condition that Israel reciprocates.
In a bold move, Hamas proposed the release of Zionist detainees in exchange for the freedom of all Palestinian detainees currently held in Israeli custody.Moreover, Hamas called for an urgent end to Israel's 18-year blockade on the Gaza Strip, emphasizing the humanitarian impact of such restrictions.",https://news.google.com/rss/articles/CBMiswFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2JyZWFraW5nLWhhbWFzc2hvY2tpbmctYW5ub3VuY2VtZW50LW9uLWljai1ydWxpbmctb24tZ2Vub2NpZGUtY2hhcmdlcy1hZ2FpbnN0LWlzcmFlbC1nYXphLWNlYXNlZmlyZS92aWRlb3Nob3cvMTA3MTc0MjU1LmNtc9IBtwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2JyZWFraW5nLWhhbWFzc2hvY2tpbmctYW5ub3VuY2VtZW50LW9uLWljai1ydWxpbmctb24tZ2Vub2NpZGUtY2hhcmdlcy1hZ2FpbnN0LWlzcmFlbC1nYXphLWNlYXNlZmlyZS9hbXBfdmlkZW9zaG93LzEwNzE3NDI1NS5jbXM?oc=5
Who is Julia Sebutinde? The judge against all ICJ rulings in Israel’s case,"Fri, 26 Jan 2024 19:12:50 GMT","ICJ Judge Sebutinde voted against emergency measures requested by South Africa against Israel over its war on Gaza.
An Israeli judge voted in favour of two of the six.
But Uganda’s Judge, Julia Sebuntinde, was the only judge who voted against all of them.
Before being elected to the ICJ, Sebutinde was a judge of the Special Court for Sierra Leone.
Sierra Leone’s case: Charles Taylor over war crimesThroughout her professional career, Sebutinde has been no stranger to controversies.",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzEvMjYvd2hvLWlzLWp1bGlhLXNlYnV0aW5kZS10aGUtanVkZ2UtYWdhaW5zdC1hbGwtaWNqLXJ1bGluZ3MtaW4taXNyYWVscy1jYXNl0gF1aHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDI0LzEvMjYvd2hvLWlzLWp1bGlhLXNlYnV0aW5kZS10aGUtanVkZ2UtYWdhaW5zdC1hbGwtaWNqLXJ1bGluZ3MtaW4taXNyYWVscy1jYXNl?oc=5
Israel reined in by ICJ rulings on Gaza - but will it obey?,"Fri, 26 Jan 2024 19:09:00 GMT","It was clear, soon after the court's American president Joan Donoghue began speaking, that the urgency of Gaza's plight was uppermost in the court's mind and that Israel had not succeeded in its bid to have the entire case thrown out.",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02ODExMzIyM9IBN2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02ODExMzIyMy5hbXA?oc=5
‘Screams Without Words’: How Hamas Weaponized Sexual Violence on Oct. 7,"Thu, 28 Dec 2023 08:00:00 GMT","At first, she was known simply as “the woman in the black dress.”In a grainy video, you can see her, lying on her back, dress torn, legs spread, vagina exposed.
Her face is burned beyond recognition and her right hand covers her eyes.
The video was shot in the early hours of Oct. 8 by a woman searching for a missing friend at the site of the rave in southern Israel where, the day before, Hamas terrorists massacred hundreds of young Israelis.
The video went viral, with thousands of people responding, desperate to know if the woman in the black dress was their missing friend, sister or daughter.
One family knew exactly who she was — Gal Abdush, mother of two from a working-class town in central Israel, who disappeared from the rave that night with her husband.",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTIvMjgvd29ybGQvbWlkZGxlZWFzdC9vY3QtNy1hdHRhY2tzLWhhbWFzLWlzcmFlbC1zZXh1YWwtdmlvbGVuY2UuaHRtbNIBAA?oc=5
What is South Africa’s genocide case against Israel at the ICJ?,"Fri, 12 Jan 2024 08:00:00 GMT","What is South Africa’s genocide case against Israel at the ICJ?
Image source, EPA Image caption, The ICJ will deliver an opinion on the genocide allegation as the case is not a criminal trialWhat is genocide and what is the case against Israel?
A spokesperson for UK Prime Minister Rishi Sunak said Mr Sunak believed South Africa's case was ""completely unjustified and wrong.""
Rulings are theoretically legally binding on parties to the ICJ - which include Israel and South Africa - but in practice, unenforceable.
The ICJ could rule quickly on South Africa's request for Israel to suspend its military campaign.",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02NzkyMjM0NtIBN2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02NzkyMjM0Ni5hbXA?oc=5
How Israel controls $188m of Palestinian money every month,"Tue, 23 Jan 2024 14:19:42 GMT","Palestinian tax revenue destined for Gaza has been frozen by Israel since November – here’s what’s happening now.
Why does Israel control Palestinian tax revenue?
The tax revenues collected by Israel on behalf of the PA amount to around $188m each month, and account for 64 percent of the authority’s total revenue.
On November 3, the Israel security cabinet voted to withhold a total of $275m in Palestinian tax revenues, including cash collected for prior months that was still with Tel Aviv.
However, that money cannot be released by the fund to pay workers in Gaza without permission from Israel.",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzEvMjMvd2h5LWlzLWlzcmFlbC1zZW5kaW5nLXBhbGVzdGluaWFuLXRheGVzLXRvLW5vcndhedIBXmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL25ld3MvMjAyNC8xLzIzL3doeS1pcy1pc3JhZWwtc2VuZGluZy1wYWxlc3Rpbmlhbi10YXhlcy10by1ub3J3YXk?oc=5
"Israel-Hamas War: At least1 74 Palestinians killed in Gaza in 24 hours, death toll rises to 26,257","Sat, 27 Jan 2024 21:16:49 GMT","Jan 28, 2024, 02:46AM ISTSource: TOI.inIn the past 24 hours, Israeli attacks in Gaza have claimed the lives of 174 Palestinians and left 310 others injured, according to the territory's Health Ministry.
The assaults, characterized by 18 massacres targeting families, have resulted in many people still trapped under rubble.
This escalates the death toll to 26,257 since the beginning of Israel's offensive on Oct. 7, with 64,797 others injured.
The ongoing conflict, triggered by a cross-border attack by Hamas, has led to widespread destruction and displacement, with 85% of Gaza's population internally displaced and 60% of its infrastructure damaged or destroyed, as reported by the UN.",https://news.google.com/rss/articles/CBMirwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2lzcmFlbC1oYW1hcy13YXItYXQtbGVhc3QxLTc0LXBhbGVzdGluaWFucy1raWxsZWQtaW4tZ2F6YS1pbi0yNC1ob3Vycy1kZWF0aC10b2xsLXJpc2VzLXRvLTI2MjU3L3ZpZGVvc2hvdy8xMDcxOTMxODUuY21z0gGzAWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL3ZpZGVvcy90b2ktb3JpZ2luYWwvaXNyYWVsLWhhbWFzLXdhci1hdC1sZWFzdDEtNzQtcGFsZXN0aW5pYW5zLWtpbGxlZC1pbi1nYXphLWluLTI0LWhvdXJzLWRlYXRoLXRvbGwtcmlzZXMtdG8tMjYyNTcvYW1wX3ZpZGVvc2hvdy8xMDcxOTMxODUuY21z?oc=5
Israel vows to stop UN agency activities in Gaza; blames it for Hamas attack,"Sat, 27 Jan 2024 14:26:40 GMT","Israel vowed Saturday to stop the UN agency at the heart of humanitarian efforts in Gaza from operating after the war following the sacking of staff over accusations they were involved in the October 7 attack.
Hamas on Saturday slammed Israeli ""threats"" against UNRWA, urging the United Nations and other international organisations not to ""cave in to the threats and blackmail"".
The agency said tens of thousands of displaced people had been registered at the shelter and Wednesday's tank shelling killed 13 people.
The agency's chronic budget shortfalls worsened dramatically in 2018 when former US president Donald Trump cut support to the agency.
Italy on Saturday became the latest country to stop funding to the agency, after Australia and Canada said they had also suspended their funding.",https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy93b3JsZC9pc3JhZWwtYWNjdXNlcy11bi1hZ2VuY3ktZm9yLWhhbWFzLWF0dGFjay12b3dzLXRvLXN0b3AtaXRzLWFjdGl2aXRpZXMtaW4tZ2F6YS1hbGwteW91LW5lZWQtdG8ta25vdy0xMTcwNjM2MjkyMDc4Ni5odG1s0gGeAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL3dvcmxkL2lzcmFlbC1hY2N1c2VzLXVuLWFnZW5jeS1mb3ItaGFtYXMtYXR0YWNrLXZvd3MtdG8tc3RvcC1pdHMtYWN0aXZpdGllcy1pbi1nYXphLWFsbC15b3UtbmVlZC10by1rbm93L2FtcC0xMTcwNjM2MjkyMDc4Ni5odG1s?oc=5
"Genocide Charge Against Israel ""Outrageous"", Says PM Benjamin Netanyahu","Sat, 27 Jan 2024 02:17:22 GMT","""The charge of genocide levelled against Israel is not only false, it's outrageous,"" PM Netanyahu said.
Israeli Prime Minister Benjamin Netanyahu has said that the genocide charge levelled against Israel is ""outrageous"" and ""decent people everywhere should reject it.""
""The charge of genocide levelled against Israel is not only false, it's outrageous, and decent people everywhere should reject it,"" the Israeli PM said in response to the International Court of Justice's (ICJ) decision on South Africa's genocide claim against Israel.
Mr Netanyahu said: ""On the eve of the International Holocaust Remembrance Day, I again pledge as Prime Minister of Israel - Never Again.
The International Court of Justice in the Hague on Friday ordered Israel to 'take all measures' to prevent genocide in Gaza.",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvZ2Vub2NpZGUtY2hhcmdlLWFnYWluc3QtaXNyYWVsLW91dHJhZ2VvdXMtc2F5cy1wbS1iZW5qYW1pbi1uZXRhbnlhaHUtNDkzOTcwONIBcmh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvZ2Vub2NpZGUtY2hhcmdlLWFnYWluc3QtaXNyYWVsLW91dHJhZ2VvdXMtc2F5cy1wbS1iZW5qYW1pbi1uZXRhbnlhaHUtNDkzOTcwOC9hbXAvMQ?oc=5
Israel vows to stop UN agency's activities in Gaza after war,"Sun, 28 Jan 2024 03:17:00 GMT","Replace UNRWA, says IsraelIsraeli Foreign Minister Israel Katz called on UNRWA Commissioner-General Philippe Lazzarini to quit his post.
The Israeli army is the only force to have tanks operating in the Gaza Strip.
Militants also seized about 250 hostages and Israel says around 132 of them remain in Gaza, including the bodies of at least 28 dead captives.
But U.S. President Joe Biden's administration fully restored support, providing $340 million in 2022, making it the agency's largest bilateral donor.
The US State Department said Jan. 26 it had ""temporarily paused additional funding"" while it reviewed the claims about UNRWA staff.",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvaXNyYWVsLXZvd3MtdG8tc3RvcC11bi1hZ2VuY3lzLWFjdGl2aXRpZXMtaW4tZ2F6YS1hZnRlci13YXIvYXJ0aWNsZTY3Nzg1NDE1LmVjZdIBgAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL2lzcmFlbC12b3dzLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyL2FydGljbGU2Nzc4NTQxNS5lY2UvYW1wLw?oc=5
El Al Israel Airlines suspends South Africa route over 'genocide' accusation,"Sat, 27 Jan 2024 07:20:18 GMT","El Al Israel Airlines announced that it would suspend its operations to Johannesburg in South Africa by the end of March due to a significant decrease in demand.
The decline, cited by the Israeli airlines, is due to South Africa's accusation of genocide against Israel at the World Court.
The announcement by Israeli airlines came before the verdict by the International Court of Justice (ICJ) on Friday.
A El Al spokesperson said, ""Israelis don't want to fly to South Africa.""
Two weeks ago, South Africa argued that Israel's military offensive aimed to destroy the population of Gaza.",https://news.google.com/rss/articles/CBMirwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3dvcmxkL3N0b3J5L2VsLWFsLWlzcmFlbC1haXJsaW5lcy1zdXNwZW5kcy1vcGVyYXRpb25zLWpvaGFubmVzYnVyZy1zb3V0aC1hZnJpY2EtZ2Vub2NpZGUtYWNjdXNhdGlvbi1pbnRlcm5hdGlvbmFsLWNvdXJ0LW9mLWp1c3RpY2UtMjQ5NDIyOS0yMDI0LTAxLTI30gGzAWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL3dvcmxkL3N0b3J5L2VsLWFsLWlzcmFlbC1haXJsaW5lcy1zdXNwZW5kcy1vcGVyYXRpb25zLWpvaGFubmVzYnVyZy1zb3V0aC1hZnJpY2EtZ2Vub2NpZGUtYWNjdXNhdGlvbi1pbnRlcm5hdGlvbmFsLWNvdXJ0LW9mLWp1c3RpY2UtMjQ5NDIyOS0yMDI0LTAxLTI3?oc=5
"Israel says UN agency UNRWA involved in October 7 Hamas attack, will stop its activities in Gaza after war","Sat, 27 Jan 2024 12:29:39 GMT","Israel will seek to stop the UN agency for Palestinian refugees from operating in Gaza after the war, a minister said Saturday, after Israel accused several UNRWA staff of involvement in Hamas's October 7 attack.
Click herePalestinian militant group Hamas on Saturday slammed Israeli ""threats"" against UNRWA, urging the UN and other international organisations not to ""cave in to the threats and blackmail"".
UNRWA said Friday it had sacked several employees accused by Israel of involvement in Hamas's unprecedented October 7 attack, prompting the United States to suspend critical funding.
Militants also seized about 250 hostages and Israel says around 132 of them remain in Gaza, including the bodies of at least 28 dead captives.
Israel has vowed to crush Hamas and Gaza's health ministry says the Israeli military offensive has killed at least 26,083 people, about 70 percent of them women and children.",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS93b3JsZC1uZXdzL2lzcmFlbC10by1zZWVrLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyLTEwMTcwNjM1NjAxNTExOS5odG1s0gGBAWh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS93b3JsZC1uZXdzL2lzcmFlbC10by1zZWVrLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyLTEwMTcwNjM1NjAxNTExOS1hbXAuaHRtbA?oc=5
Watch | Have the ICJ Provisional Orders Pleased South Africa and Embarrassed Israel?,"Sat, 27 Jan 2024 10:29:05 GMT","How does the South African government view these orders because it hasn’t got all that it asked for?
What message do the very substantial majorities behind the ICJ orders send to Israel?
In all likelihood Israel will ignore these orders and the matter will inevitably be referred to the Security Council.
Will the Biden administration veto any UNSC resolution thus placing itself in defiance of the ICJ orders?
Finally, do these provisional orders convey any hint of what the final ruling may be?",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vdGhld2lyZS5pbi93b3JsZC9rYXJhbi10aGFwYXItaWNqLXNvdXRoLWFmcmljYS1pc3JhZWwtcGFsZXN0aW5lLW9yZGVy0gFbaHR0cHM6Ly9tLnRoZXdpcmUuaW4vYXJ0aWNsZS93b3JsZC9rYXJhbi10aGFwYXItaWNqLXNvdXRoLWFmcmljYS1pc3JhZWwtcGFsZXN0aW5lLW9yZGVyL2FtcA?oc=5
"Indian Judge At ICJ Supports Order Against Israel, Says Widespread Nature Of Military Operations In Gaza Indicates Plausibility Of Genocide","Fri, 26 Jan 2024 16:06:31 GMT","Justice Bhandari, while voting in favour of the directions to Israel, also issued a separate declaration in support of his decision.
At the outset, Justice Bhandari condemned the attack carried out by Hamas against Israeli civilians on October 7, 2023.
Justice Bhandari explained that provisional measures are issued on the basis of a test of plausibility and that the order cannot be construed as a final declaration of guilt.
At the end, Justice Bhandari appealed to end all hostilities and unconditional release of all hostages captured on October 7, 2023.
By 15: 2 votes, the State of Israel shall ensure with immediate effect that its military does not commit any acts described above.",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5saXZlbGF3LmluL3RvcC1zdG9yaWVzL2ludGVybmF0aW9uYWwtY291cnQtb2YtanVzdGljZS1pc3JhZWwtZ2F6YS1wYWxlc3RpbmUtanVzdGljZS1kYWx2ZWVyLWJoYW5kYXJpLWluZGlhbi1qdWRnZS1nZW5vY2lkZS0yNDc3MTbSAZEBaHR0cHM6Ly93d3cubGl2ZWxhdy5pbi9hbXAvdG9wLXN0b3JpZXMvaW50ZXJuYXRpb25hbC1jb3VydC1vZi1qdXN0aWNlLWlzcmFlbC1nYXphLXBhbGVzdGluZS1qdXN0aWNlLWRhbHZlZXItYmhhbmRhcmktaW5kaWFuLWp1ZGdlLWdlbm9jaWRlLTI0NzcxNg?oc=5
Israel-Made Anti-Drone Systems to Guard Ayodhya Ram Temple In A First for Uttar Pradesh,"Sun, 28 Jan 2024 05:54:00 GMT","Israel-made anti-drone systems are likely to soon guard the Ayodhya Ram Temple, along with some other top vital installations in Uttar Pradesh, police sources have confirmed to CNN-News18.
This is the first time that an anti-drone technology is being procured by the Uttar Pradesh police.
During the recent Ayodhya Ram Temple Pran Pratishtha event and on other occasions, the police used anti-drone systems borrowed from the National Security Guard (NSG), Special Protection Group (SPG) or other security forces.
CNN-News18 has learnt that these anti-drone systems manufactured in Israel were shortlisted after detailed trials.
Around 10 of these anti-drone systems are being procured by the UP police.",https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5uZXdzMTguY29tL2luZGlhL2lzcmFlbC1tYWRlLWFudGktZHJvbmUtc3lzdGVtcy10by1ndWFyZC1heW9kaHlhLXJhbS10ZW1wbGUtaW4tYS1maXJzdC1mb3ItdXR0YXItcHJhZGVzaC04NzU2OTcxLmh0bWzSAYUBaHR0cHM6Ly93d3cubmV3czE4LmNvbS9hbXAvaW5kaWEvaXNyYWVsLW1hZGUtYW50aS1kcm9uZS1zeXN0ZW1zLXRvLWd1YXJkLWF5b2RoeWEtcmFtLXRlbXBsZS1pbi1hLWZpcnN0LWZvci11dHRhci1wcmFkZXNoLTg3NTY5NzEuaHRtbA?oc=5
